detector,x,y
N1,-1.0811,-0.157306
N1,-1.0811,-0.00750506
N1,-0.782681,-0.00750506
N1,-0.782681,-0.157306
N2,-0.771362,-0.157385
N2,-0.771362,-0.00749848
N2,-0.472493,-0.00749848
N2,-0.472493,-0.157385
N3,-0.461205,-0.157448
N3,-0.461205,-0.00749265
N3,-0.161464,-0.00749265
N3,-0.161464,-0.157448
N4,-0.150127,-0.15747
N4,-0.150127,-0.00749085
N4,0.149894,-0.00749085
N4,0.149894,-0.15747
N5,0.161033,-0.157638
N5,0.161033,-0.0074294
N5,0.460796,-0.0074294
N5,0.460796,-0.157638
N6,0.472171,-0.157286
N6,0.472171,-0.00740563
N6,0.771045,-0.00740563
N6,0.771045,-0.157286
N7,0.782398,-0.157141
N7,0.782398,-0.0074798
N7,1.08083,-0.0074798
N7,1.08083,-0.157141
N8,-0.92615,-0.321782
N8,-0.92615,-0.172004
N8,-0.627492,-0.172004
N8,-0.627492,-0.321782
N9,-0.616455,-0.322077
N9,-0.616455,-0.172189
N9,-0.317043,-0.172189
N9,-0.317043,-0.322077
N10,-0.305679,-0.322071
N10,-0.305679,-0.17217
N10,-0.00571999,-0.17217
N10,-0.00571999,-0.322071
N11,0.00565427,-0.322243
N11,0.00565427,-0.172254
N11,0.305554,-0.172254
N11,0.305554,-0.322243
N12,0.31684,-0.322099
N12,0.31684,-0.172063
N12,0.616183,-0.172063
N12,0.616183,-0.322099
N13,0.627264,-0.321792
N13,0.627264,-0.171887
N13,0.925858,-0.171887
N13,0.925858,-0.321792
N14,-0.926057,-0.485961
N14,-0.926057,-0.336213
N14,-0.62726,-0.336213
N14,-0.62726,-0.485961
N15,-0.616498,-0.486444
N15,-0.616498,-0.336606
N15,-0.317089,-0.336606
N15,-0.317089,-0.486444
N16,-0.30558,-0.486753
N16,-0.30558,-0.336864
N16,-0.00578257,-0.336864
N16,-0.00578257,-0.486753
N17,0.00532179,-0.486814
N17,0.00532179,-0.33687
N17,0.305123,-0.33687
N17,0.305123,-0.486814
N18,0.316662,-0.486495
N18,0.316662,-0.336537
N18,0.616018,-0.336537
N18,0.616018,-0.486495
N19,0.62708,-0.485992
N19,0.62708,-0.336061
N19,0.92578,-0.336061
N19,0.92578,-0.485992
N20,-0.770814,-0.650617
N20,-0.770814,-0.500679
N20,-0.471826,-0.500679
N20,-0.471826,-0.650617
N21,-0.460777,-0.650817
N21,-0.460777,-0.501097
N21,-0.161224,-0.501097
N21,-0.161224,-0.650817
N22,-0.149847,-0.650816
N22,-0.149847,-0.501308
N22,0.149886,-0.501308
N22,0.149886,-0.650816
N23,0.161001,-0.650946
N23,0.161001,-0.501263
N23,0.460566,-0.501263
N23,0.460566,-0.650946
N24,0.47163,-0.650495
N24,0.47163,-0.500592
N24,0.770632,-0.500592
N24,0.770632,-0.650495
N25,-0.615548,-0.814774
N25,-0.615548,-0.665052
N25,-0.316352,-0.665052
N25,-0.316352,-0.814774
N26,-0.305399,-0.814862
N26,-0.305399,-0.665489
N26,-0.00591217,-0.665489
N26,-0.00591217,-0.814862
N27,0.00550714,-0.815022
N27,0.00550714,-0.665418
N27,0.304979,-0.665418
N27,0.304979,-0.815022
N28,0.316126,-0.814707
N28,0.316126,-0.664908
N28,0.615276,-0.664908
N28,0.615276,-0.814707
N29,-0.46018,-0.97887
N29,-0.46018,-0.829315
N29,-0.16101,-0.829315
N29,-0.16101,-0.97887
N31,0.160884,-0.978775
N31,0.160884,-0.829426
N31,0.460147,-0.829426
N31,0.460147,-0.978775
S1,-1.08096,0.00715956
S1,-1.08096,0.15689
S1,-0.782554,0.15689
S1,-0.782554,0.00715956
S2,-0.7713,0.0074194
S2,-0.7713,0.157269
S2,-0.47242,0.157269
S2,-0.47242,0.0074194
S3,-0.4611,0.00723009
S3,-0.4611,0.157192
S3,-0.161377,0.157192
S3,-0.161377,0.00723009
S4,-0.149836,0.00737069
S4,-0.149836,0.157441
S4,0.150222,0.157441
S4,0.150222,0.00737069
S5,0.161297,0.0072399
S5,0.161297,0.1572
S5,0.461031,0.1572
S5,0.461031,0.0072399
S6,0.472537,0.00728934
S6,0.472537,0.157137
S6,0.771441,0.157137
S6,0.771441,0.00728934
S7,0.782516,0.074830955
S7,0.782516,0.15709
S7,1.08097,0.15709
S7,1.08097,0.074830955
S8,-0.92583,0.171786
S8,-0.92583,0.32173
S8,-0.627259,0.32173
S8,-0.627259,0.171786
S9,-0.616329,0.171889
S9,-0.616329,0.321823
S9,-0.31694,0.321823
S9,-0.31694,0.171889
S10,-0.305695,0.172216
S10,-0.305695,0.322179
S10,-0.00579187,0.322179
S10,-0.00579187,0.172216
S11,0.00556739,0.172237
S11,0.00556739,0.322278
S11,0.305472,0.322278
S11,0.305472,0.172237
S12,0.316973,0.172015
S12,0.316973,0.322057
S12,0.61631,0.322057
S12,0.61631,0.172015
S13,0.627389,0.171749
S13,0.627389,0.321672
S13,0.925972,0.321672
S13,0.925972,0.171749
S14,-0.925847,0.335898
S14,-0.925847,0.48578
S14,-0.627123,0.48578
S14,-0.627123,0.335898
S15,-0.616201,0.336498
S15,-0.616201,0.486438
S15,-0.316839,0.486438
S15,-0.316839,0.336498
S16,-0.305558,0.336904
S16,-0.305558,0.486749
S16,-0.00574858,0.486749
S16,-0.00574858,0.336904
S17,0.00557115,0.33675
S17,0.00557115,0.486491
S17,0.305423,0.486491
S17,0.305423,0.33675
S18,0.316635,0.33649
S18,0.316635,0.486573
S18,0.615931,0.486573
S18,0.615931,0.33649
S19,0.627207,0.336118
S19,0.627207,0.485923
S19,0.925969,0.485923
S19,0.925969,0.336118
S20,-0.770675,0.500411
S20,-0.770675,0.65042
S20,-0.471718,0.65042
S20,-0.471718,0.500411
S21,-0.46072,0.501198
S21,-0.46072,0.650786
S21,-0.161101,0.650786
S21,-0.161101,0.501198
S22,-0.149915,0.501334
S22,-0.149915,0.650856
S22,0.14982,0.650856
S22,0.14982,0.501334
S23,0.160973,0.501075
S23,0.160973,0.650896
S23,0.460482,0.650896
S23,0.460482,0.501075
S24,0.47167,0.50045
S24,0.47167,0.650441
S24,0.770647,0.650441
S24,0.770647,0.50045
S25,-0.615564,0.66501
S25,-0.615564,0.814674
S25,-0.316325,0.814674
S25,-0.316325,0.66501
S26,-0.30512,0.665531
S26,-0.30512,0.81505
S26,-0.0056517,0.81505
S26,-0.0056517,0.665531
S27,0.00560886,0.665509
S27,0.00560886,0.815022
S27,0.305082,0.815022
S27,0.305082,0.665509
S28,0.316158,0.665058
S28,0.316158,0.814732
S28,0.615391,0.814732
S28,0.615391,0.665058
S29,-0.46021,0.829248
S29,-0.46021,0.978699
S29,-0.160988,0.978699
S29,-0.160988,0.829248
S30,-0.150043,0.829007
S30,-0.150043,0.978648
S30,0.149464,0.978648
S30,0.149464,0.829007
S31,0.160898,0.82932
S31,0.160898,0.978804
S31,0.460111,0.978804
S31,0.460111,0.82932
